source,target,source__package_name,source__package_version,target__package_name,target__package_version
v[3317952],v[2990152],tensorflow,1.4.1,numpy,1.12.1
v[3317952],v[2994248],tensorflow,1.4.1,numpy,1.13.0rc1
v[3317952],v[2998344],tensorflow,1.4.1,numpy,1.13.0
v[3317952],v[3002440],tensorflow,1.4.1,numpy,1.13.3
v[3317952],v[3006536],tensorflow,1.4.1,numpy,1.14.0rc1
v[3317952],v[3014728],tensorflow,1.4.1,numpy,1.14.1
v[3317952],v[3018824],tensorflow,1.4.1,numpy,1.14.5
v[3317952],v[3027016],tensorflow,1.4.1,numpy,1.14.6
v[3317952],v[3035208],tensorflow,1.4.1,numpy,1.15.0rc2
v[3317952],v[3067976],tensorflow,1.4.1,wheel,0.31.1
v[3317952],v[3084360],tensorflow,1.4.1,protobuf,3.5.1
v[3317952],v[3092552],tensorflow,1.4.1,tensorflow-tensorboard,0.1.1
v[3317952],v[3117128],tensorflow,1.4.1,tensorflow-tensorboard,0.4.0rc3
v[3317952],v[3117152],tensorflow,1.4.1,numpy,1.13.0rc2
v[3317952],v[3121224],tensorflow,1.4.1,tensorflow-tensorboard,0.4.0rc2
v[3317952],v[3137632],tensorflow,1.4.1,numpy,1.14.3
v[3317952],v[3141704],tensorflow,1.4.1,numpy,1.14.3
v[3317952],v[3153992],tensorflow,1.4.1,wheel,0.26.0
v[3317952],v[3178568],tensorflow,1.4.1,numpy,1.15.0rc2
v[3317952],v[3182688],tensorflow,1.4.1,protobuf,3.5.2
v[3317952],v[3194976],tensorflow,1.4.1,protobuf,3.5.2.post1
v[3317952],v[3199136],tensorflow,1.4.1,numpy,1.15.1
v[3317952],v[3203232],tensorflow,1.4.1,protobuf,3.4.0
v[3317952],v[3211360],tensorflow,1.4.1,tensorflow-tensorboard,0.1.7
v[3317952],v[3223648],tensorflow,1.4.1,wheel,0.29.0
v[3317952],v[3231816],tensorflow,1.4.1,protobuf,3.5.2
v[3317952],v[3235936],tensorflow,1.4.1,wheel,0.30.0
v[3317952],v[3248288],tensorflow,1.4.1,tensorflow-tensorboard,0.4.0
v[3317952],v[3256416],tensorflow,1.4.1,numpy,1.13.3
v[3317952],v[3276896],tensorflow,1.4.1,numpy,1.15.0
v[3317952],v[3281056],tensorflow,1.4.1,protobuf,3.5.0.post1
v[3317952],v[3285088],tensorflow,1.4.1,numpy,1.15.4
v[3317952],v[3285152],tensorflow,1.4.1,wheel,0.30.0a0
v[3317952],v[3293344],tensorflow,1.4.1,wheel,0.31.0
v[3317952],v[3313824],tensorflow,1.4.1,wheel,0.30.0
v[3317952],v[3322048],tensorflow,1.4.1,numpy,1.13.1
v[3317952],v[3330160],tensorflow,1.4.1,protobuf,3.5.2.post1
v[3317952],v[3330240],tensorflow,1.4.1,numpy,1.14.2
v[3317952],v[3334256],tensorflow,1.4.1,protobuf,3.6.0
v[3317952],v[3342448],tensorflow,1.4.1,six,1.10.0
v[3317952],v[3350720],tensorflow,1.4.1,numpy,1.15.0
v[3317952],v[3354816],tensorflow,1.4.1,numpy,1.15.2
v[3317952],v[3358832],tensorflow,1.4.1,tensorflow-tensorboard,0.1.5
v[3317952],v[3367024],tensorflow,1.4.1,tensorflow-tensorboard,0.1.2
v[3317952],v[3367104],tensorflow,1.4.1,protobuf,3.5.0.post1
v[3317952],v[3371120],tensorflow,1.4.1,tensorflow-tensorboard,0.1.5
v[3317952],v[3387584],tensorflow,1.4.1,wheel,0.32.0
v[3317952],v[3391680],tensorflow,1.4.1,protobuf,3.6.0
v[3317952],v[3399792],tensorflow,1.4.1,wheel,0.28.0
v[3317952],v[3403968],tensorflow,1.4.1,tensorflow-tensorboard,0.1.7
v[3317952],v[3440832],tensorflow,1.4.1,numpy,1.14.6
v[3317952],v[3457216],tensorflow,1.4.1,numpy,1.13.0rc2
v[3317952],v[3539056],tensorflow,1.4.1,protobuf,3.6.1
v[3317952],v[44105928],tensorflow,1.4.1,wheel,0.30.0a0
v[3317952],v[44114120],tensorflow,1.4.1,protobuf,3.6.1
v[3317952],v[44122312],tensorflow,1.4.1,tensorflow-tensorboard,0.1.4
v[3317952],v[44134600],tensorflow,1.4.1,protobuf,3.4.0
v[3317952],v[44167368],tensorflow,1.4.1,numpy,1.15.2
v[3317952],v[44323024],tensorflow,1.4.1,numpy,1.15.3
v[3317952],v[44363984],tensorflow,1.4.1,six,1.11.0
v[3317952],v[44376272],tensorflow,1.4.1,tensorflow-tensorboard,0.1.8
v[3317952],v[44380240],tensorflow,1.4.1,numpy,1.14.0
v[3317952],v[44380368],tensorflow,1.4.1,tensorflow-tensorboard,0.1.4
v[3317952],v[44384464],tensorflow,1.4.1,tensorflow-tensorboard,0.4.0rc1
v[3317952],v[44392656],tensorflow,1.4.1,tensorflow-tensorboard,1.5.1
v[3317952],v[44400848],tensorflow,1.4.1,wheel,0.31.1
v[3317952],v[44404944],tensorflow,1.4.1,wheel,0.32.2
v[3317952],v[44413008],tensorflow,1.4.1,tensorflow-tensorboard,0.1.6
v[3317952],v[44421200],tensorflow,1.4.1,tensorflow-tensorboard,1.5.0
v[3317952],v[44425296],tensorflow,1.4.1,tensorflow-tensorboard,1.5.1
v[3317952],v[44429392],tensorflow,1.4.1,tensorflow-tensorboard,1.5.0
v[3317952],v[44449872],tensorflow,1.4.1,wheel,0.28.0
v[3317952],v[44466256],tensorflow,1.4.1,numpy,1.14.1
v[3317952],v[47599864],tensorflow,1.4.1,numpy,1.14.4
v[3317952],v[47612152],tensorflow,1.4.1,numpy,1.15.0rc1
v[3317952],v[47649016],tensorflow,1.4.1,numpy,1.15.4
v[3317952],v[47657208],tensorflow,1.4.1,protobuf,3.3.0
v[3317952],v[47661304],tensorflow,1.4.1,protobuf,3.5.1
v[3317952],v[47669496],tensorflow,1.4.1,wheel,0.27.0
v[3317952],v[47689976],tensorflow,1.4.1,enum34,1.1.6
v[3317952],v[47698168],tensorflow,1.4.1,tensorflow-tensorboard,0.1.0
v[3317952],v[47710456],tensorflow,1.4.1,tensorflow-tensorboard,0.1.2
v[3317952],v[47722744],tensorflow,1.4.1,tensorflow-tensorboard,0.1.1
v[3317952],v[47751416],tensorflow,1.4.1,tensorflow-tensorboard,0.4.0rc2
v[3317952],v[47759608],tensorflow,1.4.1,wheel,0.26.0
v[3317952],v[47767800],tensorflow,1.4.1,wheel,0.27.0
v[3317952],v[47780088],tensorflow,1.4.1,wheel,0.32.1
v[3317952],v[47784184],tensorflow,1.4.1,wheel,0.32.2
v[3317952],v[47800568],tensorflow,1.4.1,numpy,1.13.0rc1
v[3317952],v[47874296],tensorflow,1.4.1,numpy,1.14.2
v[3317952],v[47878392],tensorflow,1.4.1,numpy,1.15.3
v[3317952],v[47886584],tensorflow,1.4.1,numpy,1.14.4
v[3317952],v[47907064],tensorflow,1.4.1,numpy,1.15.0rc1
v[3084360],v[3194952],protobuf,3.5.1,setuptools,0.7.4
v[3084360],v[3219528],protobuf,3.5.1,six,1.9.0
v[3084360],v[3268680],protobuf,3.5.1,setuptools,3.8.1
v[3084360],v[3272776],protobuf,3.5.1,setuptools,1.1.7
v[3084360],v[3301448],protobuf,3.5.1,setuptools,3.7.1
v[3084360],v[3309640],protobuf,3.5.1,setuptools,5.0.1
v[3084360],v[3317832],protobuf,3.5.1,setuptools,5.1
v[3084360],v[3321928],protobuf,3.5.1,setuptools,5.3
v[3084360],v[3342448],protobuf,3.5.1,six,1.10.0
v[3084360],v[3354696],protobuf,3.5.1,setuptools,18.8.1
v[3084360],v[3358816],protobuf,3.5.1,setuptools,1.1.6
v[3084360],v[3371080],protobuf,3.5.1,setuptools,10.2.1
v[3084360],v[3375176],protobuf,3.5.1,setuptools,18.3.2
v[3084360],v[3375200],protobuf,3.5.1,setuptools,1.4.1
v[3084360],v[3379360],protobuf,3.5.1,setuptools,0.7.7
v[3084360],v[3391584],protobuf,3.5.1,setuptools,2.1.2
v[3084360],v[3391648],protobuf,3.5.1,setuptools,3.5
v[3084360],v[3395744],protobuf,3.5.1,setuptools,1.1.2
v[3084360],v[3399776],protobuf,3.5.1,setuptools,0.9
v[3084360],v[3403848],protobuf,3.5.1,setuptools,19.5
v[3084360],v[3416136],protobuf,3.5.1,setuptools,20.0
v[3084360],v[3420256],protobuf,3.5.1,setuptools,0.9.8
v[3084360],v[3428448],protobuf,3.5.1,setuptools,1.0
v[3084360],v[3432544],protobuf,3.5.1,setuptools,1.1
v[3084360],v[3436616],protobuf,3.5.1,setuptools,18.3
v[3084360],v[3436704],protobuf,3.5.1,setuptools,3.0.1
v[3084360],v[3440800],protobuf,3.5.1,setuptools,8.0.2
v[3084360],v[3444808],protobuf,3.5.1,setuptools,19.1
v[3084360],v[3444832],protobuf,3.5.1,setuptools,3.8
v[3084360],v[3444896],protobuf,3.5.1,setuptools,3.2
